id,gender,khmer_name
155,female,ចាប ស៊ីណាត
156,female,ឆាយ សុគន្ធ
157,female,កែប វណ្ណា
158,female,ម៉ាក ម៉ាលី
159,male,យុន ចាន់ណា
160,male,ឱម ហុក
161,male,អិម ចន្ថា
162,male,លីម យ៉ាន
163,male,ចន្ទ វណ្ណា
164,female,អិម លី
165,male,សុខ វុឌ្ឍី
166,female,កែប គឹម
167,female,មាន សារិទ្ធ
168,female,មាស សុជាតា
169,female,ស៊ុយ សុខ
170,male,ឌួង ផល្លា
171,female,ជី គឹម
172,female,ទេព សោភា
173,female,ខាយ ម៉ូនីកា
174,male,សោម សង
175,male,ខាត់ ចំរើន
176,female,ស៊ន ហេង
177,female,ចាប សូនីតា
178,male,ស សាំភេះ
179,male,ទិត្យ សំ
180,male,យស់ សម្ផស្ស
181,female,លីវ ស្រីមុំ
182,female,សង ជា
183,male,កែវ កែវ
184,male,រស់ ណែន
185,female,សៀង នី
186,male,សៀង កុសល
187,female,អុង ម៉ូនីកា
188,male,ទេព រូ
189,female,តាំង សាវឿន
190,male,ឆាយ តារា
191,female,វ៉ាង ទូច
192,male,អ៊ូ រង្សី
193,male,តក់ សំ
194,male,កូយ រ៉េត
195,male,ជឹម សុខ
196,female,សរ វិជ្ជរ៉ា
197,male,វ៉ាង ប៊ុនហេង
198,female,ឌិន សឺម៉ន
199,male,មួយ អ៊ូ
200,male,មាន ភួង
201,male,ម៉ៅ សុភក្ត្រ
202,female,តាត បញ្ញា
203,female,ដាញ់ សារឿន
204,female,សេន សុទ្ធា
205,female,សេន លី
206,female,ស្បោង រៅំឌើល
207,male,ស្រី សង
208,male,កឹម សូនីតា
209,male,កែប ជា
210,female,អិម វណ្ណា
211,female,ឃាង សោភា
212,female,ស៊ី រូ
213,female,ចុក ឈិត
214,male,តូច ឫទ្ធិ
215,male,ឈិន កុសល
216,male,សាន់ លុយ
217,male,កែវ សេង
218,female,ឱក ធារី
219,female,សៀង សឺម៉ន
220,male,សន សៀន
221,male,ឆន សៀន
222,female,វង្ស សំណាង
223,male,ឈិន សាវឿន
224,female,យស់ ភាក្គ្លី
225,female,ចន្ទ ស៊ីវន
226,female,ពេជ្រ សុខា
227,male,ណាត់ សម្រិត
228,male,វ៉ាង រតនា
229,female,ហ៊ុន ឈិត
230,male,យូ កុសល
231,male,ឆន អ៊ូ
232,female,មេង បុប្ផា
233,female,សរ ឈិត
234,female,រួយ សីម៉ា
235,male,តាង សារឿន
236,male,ស៊ន រតនា
237,male,រស់ សិរី
238,female,ស៊ុយ ស្រីនាង
239,male,ឱម ទុយ
240,male,លីម វុឌ្ឍី
241,male,សរ សុភាព
242,male,ថៃ ស៊ីន
243,male,សាត បញ្ញា
244,female,ហុក ដានី
245,male,សាយ សមាត្រ
246,male,ណាត់ ចន្ថា
247,female,ជឹម វណ្ណា
248,female,រ៉ន ថាត់
249,female,អ៊ុយ ពាង់
250,male,ស សាវ៉េត
251,male,ឱក វណ្ណា
252,female,កូយ សេង
253,male,សាន សារុន
254,female,ហ៊ិន សាត
255,male,មូល លុយ
256,male,ថន កុសល
257,male,ស៊ន វុឌ្ឍី
258,male,ប៉ែន អន
259,female,មួយ កែវ
260,female,អុង កញ្ញា
261,female,ឆន សុខ
262,male,ឌួង ពិរុណ
263,female,អ៊ុយ លំអង
264,male,ឌុល ហេង
265,female,យស់ សុភក្ត្រ
266,female,ជឹម ម៉ាឡាន
267,male,អ៊ុំ ពិជ
268,male,សៀង ហេង
269,male,ឌិត គិត
270,male,ខាត់ ឈួន
271,female,ឌុល បុប្ផា
272,male,ហាក់ ភារៈ
273,male,មួយ រ៉ន
274,female,តូច សោភា
275,male,ស ធាន
276,female,ប៉ុក លក្ស្មី
277,female,ថៃ សាវ៉ាន់
278,male,តាត ណែន
279,male,អិម សាត
280,female,ឱ ច័ន្ទមុនី
281,female,ង៉ុយ ស្រីនាថ
282,male,ឆន រង្សី
283,male,រ៉េត ទេព
284,female,ឱក រូ
285,female,ផាន ហៀក
286,male,អាង លុយ
287,male,វ៉េត ពិសាល
288,male,អ៊ូ ទិព្វសព្ទ
289,female,ឈិត ពាង់
290,female,ទី ស៊ីន
291,female,ទូច ស្រីនាង
292,female,ជាម សំ
293,male,ឈិត ធាន
294,female,សិន ពិសិដ្ឋ
295,female,ឆន រ៉ន
296,male,សម ងិន
297,female,ខៀវ ម៉ាលីស
298,female,មា ភាក្គ្លី
299,male,ឆាយ ហ៊ឹម
300,male,ជា គឹម
301,female,ឆន ស្រីនិច
302,female,សឺន រ៉ន
303,male,ជ័យ រ៉ាយ
304,female,ហ៊ិន និមល
305,male,មាស ស៊ីណា
306,male,ស សារឿន
307,male,ស៊ុយ ថាត់
308,male,អៀវ សុវណ្ណា
309,female,តក់ សំណាង
310,female,ង៉ុយ សាមៀន
311,male,ហូ ឫទ្ធិ
312,male,ផាន វណ្ណា
313,female,ស៊ុន ចិន្តា
314,male,ប៉ែន និមល
315,female,ទូច និសា
316,female,ឃាង ស៊ីន
317,female,ឡាយ និមល
318,female,មាស ចំរើន
319,female,រស់ សោភា
320,male,យូ គឹម
321,male,សន ហាន់
322,female,ឱម រស់
323,female,ទុំ គុន្ធា
324,female,មា ប៉ែន
325,female,សេង ចាង
326,female,ឈិន សម្បត្តិ
327,female,ហួយ ហាន់
328,female,កឹម វណ្ណា
329,female,អ៊ុច កុម្ភៈ
330,female,សៅ រិន
331,male,វ៉ាង ណារ៉ុង
332,male,មាន ទុយ
333,female,មាស ស្រីនួន
334,male,ដួង ភារៈ
335,male,ស៊ន សុខ
336,female,រស់ ឈិត
337,female,ឆន ឆោម
338,male,ប៉ែន ហ៊ិន
339,male,សាយ ដានី
340,male,សាង និស្ស័យ
341,male,ប៉ុក ណាត់
342,female,ឈឹម ស៊ីន
343,female,ប៉ែន ផាល្លេះ
344,female,ទេព ណារ៉ុង
345,female,កែប មាស
346,female,វង្ស សារិទ្ធ
347,male,ឯក សារុន
348,female,ក្រម សោភា
349,female,កែវ សោភា
350,female,សេង សារុន
351,female,ហេង ម៉ូនីកា
352,male,កែប វីឈៀត
353,female,ជិន សាវ៉ាន់
354,male,ហុក សុភក្ត្រ
355,female,ស៊ន សុភក្ត្រ
356,female,ជិន ណារី
357,male,ស៊ីន ពិជ
358,female,មា ស្រីនាថ
359,female,ឈឹម សំណាង
360,male,សុង សាំភេះ
361,male,យស់ ឈួន
362,female,ឡុង ច័ន្ទមុនី
363,female,មេង ចិន្តា
364,male,ស សុខ
365,female,រ៉េត ភាក្គ្លី
366,female,លន់ ស្រីនិច
367,male,ស៊ីន សារិទ្ធ
368,male,ទឹក គិត
369,male,ជា សុភា
370,female,កែប សែកា
371,female,ស៊ីន សោភា
372,male,ឱ ហុក
373,male,សៀង សាម៉ន
374,female,អុង ចិន្តា
375,male,សម គឹម
376,male,លីម សុភក្ត្រ
377,male,អៀម សុជាត
378,female,គួច បូណ៌មី
379,female,រ៉ន ច័ន្ទមុនី
380,male,រស់ រដ្ឋា
381,female,សង និសា
382,female,ទី សុភក្ត្រ
383,female,សាង ឯក
384,female,អៀម វាសនា
385,male,លី ភួង
386,female,សន សុគន្ធ
387,female,ពិជ ណារ៉ុង
388,male,សាន ចាន់ណា
389,female,ឱម សោភា
390,male,ស៊ីន វីរៈ
391,male,មេង ពៅ
392,male,សាយ សុខ
393,male,ខាយ សាវ៉េត
394,male,គឹម សុខ
395,female,យស់ វិជ្ជរ៉ា
396,male,សន សម្រិត
397,male,ឌួង សុភា
398,female,សឿង វណ្ណា
399,female,ឃាង សូនីតា
400,male,រ៉េត វណ្ណា
401,female,កាំង ចំប៉ី
402,male,សង សាវឿន
403,female,ស ស៊ីន
404,male,ប៉ុក សារឿន
405,male,ស៊ុន ឡុង
406,female,គ្រី ចន្ទនារី
407,female,ឱក សារឿន
408,female,អ៊ុច នួន
409,female,សុខ បុប្ផា
410,male,មា សុភា
411,male,ហ៊ឹម សារ៉េត
412,male,ទូច ដានី
413,female,សម ចន្ទ
414,female,រស់ ចំរើន
415,female,ង៉ុយ ខេមរៈ
416,female,ប៉ែន សុផាត
417,male,ម៉ាក ពៅ
418,male,ចេន សាន
419,female,អ៊ុំ ដានី
420,male,ស្រី សាន
421,female,ទូច ទូច
422,male,ឆោម សុភក្ត្រ
423,male,ឃិន ឈួន
424,male,ដាញ់ លាង
425,female,សម ជា
426,male,ជឹម ភារៈ
427,female,គឹម សីហា
428,female,ជិន ផាល្លេះ
429,female,យូ ដានី
430,male,អុង ថាត់
431,female,សរ សារឿន
432,female,ទាវ ចិន្តា
433,male,សាយ ស៊ីណា
434,female,សាត បូណ៌មី
435,female,ងួន សាមៀន
436,female,ងួន រដ្ឋា
437,female,អិម សាំភេះ
438,male,មួយ វិទូ
439,female,សុន ទូច
440,male,សែន ពិរុណ
441,female,ហេង សូរិយា
442,male,ចុក សុខា
443,female,អុង ធាន
444,male,ងួន ធី
445,female,គ្រី ស្រីនាថ
446,male,សួន ដានី
447,male,សង ជ័យ
448,male,ស៊ីន ក្រយ៉ា
449,male,ចាប សុភា
450,female,មាន រតនា
451,male,មួយ ចន្ទ
452,female,ដាញ់ ពិសិដ្ឋ
453,male,ហួយ ស៊ីន
454,female,ឈិត ពិសី
455,male,អ៊ុយ ចំរើន
456,female,សេន សោភា
457,female,លីម សម្បត្តិ
458,male,សេង ឈួន
459,female,ស ហ៊ឹម
460,female,ស៊ី ម៉ូនីកា
461,male,ស៊ុយ ចន្ថា
462,male,សាយ វាសនា
463,female,ឈឹម ពាង់
464,female,ស៊ន សៀន
465,female,នី លីហ្សា
466,female,រស់ សាម៉ន
467,male,មា ពិរុណ
468,male,ឱក ឡេង
469,male,មា ទេព
470,female,ណាត់ លក្ស្មី
471,female,យស់ ស៊ី
472,male,ប៉ុក វណ្ណា
473,male,ចាន់ ធាន
474,female,កូយ ស្រីនារ
475,male,លន់ ហាន់
476,female,តក់ ម៉ាលីន
477,female,ដួង ណាត់
478,female,លិម ឆោម
479,male,ឌី យ៉ាន
480,female,សិន គឹមលា
481,male,ចេង និស្ស័យ
482,female,ស៊ុន មាស
483,male,ខៀវ រដ្ឋា
484,male,លន់ សាត
485,male,សោម វណ្ណា
486,male,ស៊ន ពៅ
487,female,សុន ម៉ាលីន
488,female,ឈិត សុទ្ធា
489,male,សរ ភារៈ
490,female,ឱក ញាន
491,male,ឌុល ក្រម
492,male,ហួយ ប៊ុនហេង
493,male,សាយ ចន្ថា
494,female,អៀវ រស់
495,male,សុន មាស
496,female,ដាញ់ វឌ្ឍនា
497,female,ឯក សូហ្វី
498,male,អុង សាកងៀ
499,male,រស់ ប៊ុន
500,female,ស្បោង សោភា
501,female,ម៉ាក សាម៉ន
502,female,ណាត់ និមល
503,female,កែវ ម៉ូនីកា
504,female,ញឹក សោភា
505,male,សែន វាសនា
506,male,អ៊ូ សិទ្ធិស័ក្តិ
507,female,ផាន សុគន្ធា
508,male,អុង រិន
509,female,អ៊ុយ ជា
510,male,ស៊ន ហុក
511,male,សូ ផា
512,male,ហូ គឹម
513,male,យុន ពិជ័យ
514,female,សម ធា
515,male,ឆន ចន្ទ
516,male,ចាប គឹម
517,male,ពិជ ឱក
518,female,វ៉ាង សិរី
519,male,រ៉េត ខេម
520,female,ទូច ម៉ម
521,female,ឆោម ស៊ីណា
522,male,ឈឹម សុភក្ត្រ
523,male,ជ័យ ក្រម
524,male,សុង សាម៉ន
525,male,ស៊ុយ ក្រយ៉ា
526,male,ចុក សុជាត
527,male,ហូ សុភា
528,female,ឈិត ចាន់ណា
529,male,តាំង ជា
530,female,ថន វិជ្ជរ៉ា
531,male,គឹម យ៉ាន
532,female,ឆាយ ប៉ែន
533,male,កឹម សុខ
534,female,រ៉េត ណាត់
535,male,កឹម សុខា
536,male,លិម សុវណ្ណា
537,male,សាយ ផល្លា
538,female,កាំង ខាន់
539,male,ស៊ុន ចិន្ដា
540,female,គ្រី សុម៉ាលី
541,male,សេន លុយ
542,male,ឱក ស្បោង
543,male,តូច សំណាង
544,female,ខ្លូត សិរី
545,female,វង្ស សាវឿន
546,male,អិម អ៊ូ
547,male,គួច គិត
548,female,ថៃ មណី
549,male,ឆន ភួង
550,male,គឹម ប៊ុន
551,male,ស្រី ងួន
552,male,រួយ ងិន
553,male,មាន សុខ
554,male,ចេន សារិទ្ធ
555,male,តក់ សុខ
556,female,សិន សារិទ្ធ
557,female,អ៊ុំ ខេមរៈ
558,male,សាត ពៅ
559,female,សោម សាវឿន
560,male,កែវ រ៉ន
561,male,គ្រី សិរី
562,female,វ៉េត ធាន
563,female,ឃីម ឈិត
564,female,ពេជ្រ ពិសិដ្ឋ
565,male,សង សុភក្ត្រ
566,male,ឱក ដារា
567,male,តូច ខេម
568,female,ឃិន រិន
569,female,ដួង ឧសភា
570,male,ឃីម សុមេធា
571,male,ឈិន ញាន
572,male,ចន្ទ សាវឿន
573,female,អិម លីហ្សា
574,male,លីម សៀន
575,female,សិន ស្រីនួន
576,female,លីវ ចន្ថា
577,female,វ៉េត ផ្កា
578,female,លិម សាម៉ន
579,female,ភី អន
580,female,រស់ ដែវី
581,male,ទូច ទិព្វសព្ទ
582,male,លិម សាំភេះ
583,female,រ៉ន ចន្ថា
584,female,ចេន រឿន
585,female,មួយ ថាត់
586,female,ចុក និសា
587,female,ជឹម ម៉ៅ
588,male,អិម សម្រិត
589,male,ស ព្រះ
590,female,ទូច សារឿន
591,male,អ៊ុំ ខាន់
592,female,ពិជ គុន្ធា
593,female,ម៉ៅ គុន្ធា
594,male,គួច រតនា
595,female,ស៊ុយ សំ
596,male,អៀម ដានី
597,female,អាង វណ្ណា
598,female,រស់ សុខ
599,female,ណាត់ ចន្ថា
600,female,អិម សុគន្ធា
601,male,សួន សារុន
602,female,ពិជ ម៉ូនីកា
603,female,ហូ កែវ
604,female,ជ័យ ស្រីពេជ្រ
605,female,អិម ឧសភា
606,male,សាន់ ណារ៉ុង
607,male,ម៉ៅ សុខា
608,female,រ៉ន ស្រីមុំ
609,female,ស៊ន ចន្ថា
610,male,ប៊ុន សុភា
611,male,សោម ងួន
612,female,សម សឺម៉ន
613,male,សិន សោភ័ណ
614,male,ខាត់ ចំណាន
615,male,ឆាយ រង្សី
616,male,ចុក ក្រយ៉ា
617,male,សុង សាត
618,female,ខាយ មណី
619,male,រួយ លាង
620,female,មូល សិរី
621,female,សៀង ម៉ម
622,male,ឈិត សិរី
623,female,មាន តុលា
624,male,ងួន សិរី
625,male,កឹម អ៊ូ
626,female,អិម លក្ស្មី
627,male,តាង សុខ
628,female,ហុក ចំរើន
629,male,សឺន ចន្ថា
630,male,សុង រស្មី
631,female,សៀង ធារី
632,male,ឡាយ សម្ផស្ស
633,female,ឃីម សាវឿន
634,female,លីម ពិសិដ្ឋ
635,male,សេន ចំរើន
636,female,ពិជ រិន
637,female,ឆោម គឹម
638,male,ដាញ់ សារឿន
639,female,ហ៊ិន សុខ
640,male,មូល សមសួន
641,female,មាស សុភ័ក្រ្ត
642,female,ជិន ចាន់ធី
643,male,ស៊ន សារឿន
644,male,ស៊ុន វិទូ
645,male,សេង សារុន
646,male,ហុក អន
647,female,ជ័យ ណាន
648,male,លិម ផាល្លេះ
649,female,ប៉ុក សុជាតា
650,female,រស់ រិន
651,male,ឆោម សុខា
652,female,ទាវ ស៊ី
653,male,ឃាង សុគន្ធ
654,male,ជី ដារា
655,female,ងួន លំអង
656,male,ទិត្យ បទុម
657,male,ឈិត ធារិទ្ធ
658,male,ធី បទុម
659,male,តក់ វណ្ណា
660,male,ធី រដ្ឋា
661,male,ដួង សារ៉េត
662,female,ម៉ៅ ចិន្តា
663,male,អៀវ សុភក្ត្រ
664,male,ប៉ែន ម៉ៅ
665,male,សិន ឫទ្ធិ
666,female,ស វណ្ណា
667,male,សរ ផាន
668,male,ឆោម ចន្ថា
669,male,តាំង ឡេង
670,male,ខ្លូត សុគន្ធ
671,male,ស៊ុយ រ៉េត
672,female,កឹម ធាន
673,male,សាន ធាន
674,female,ហួយ សំ
675,female,ស៊ូ ម៉ាលីស
676,male,មេង ពិជ
677,male,សួន ផា
678,male,យស់ រ៉េត
679,female,ហាក់ ពិសិដ្ឋ
680,female,សុន ស្រីពេជ្រ
681,male,សរ ចន្ថា
682,female,សាយ វណ្ណារី
683,female,ចន្ទ វឌ្ឍនា
684,female,អ៊ុយ សុគន្ធ
685,female,ជាម ស្រីពេជ្រ
686,male,ដាញ់ ចាន់ណា
687,female,សង សៀន
688,male,ស ប៊ុន
689,female,ម៉ៅ សាវ៉េត
690,male,ស្បោង សុវណ្ណ
691,male,សាន់ បញ្ញា
692,female,ហុង រដ្ឋា
693,female,ស ងិន
694,male,ស៊ីន សិទ្ធិស័ក្តិ
695,male,សិន វាសនា
696,male,ចន្ទ ក្រយ៉ា
697,female,មេង ស្រីមុំ
698,male,ហូ ដារា
699,male,សាង ធាន
700,female,ស៊ូ បូណ៌មី
701,female,ធី ណាន
702,female,សឿង រិន
703,female,វ៉េត ងិន
704,female,ចេង រ៉ន
705,female,សៅ ម៉ាលី
706,female,សុន វណ្ណារី
707,female,ដាញ់ ណារី
708,male,ប្រាក់ សម្ផស្ស
709,female,ហាក់ បទុម
710,male,យូ សាវ៉េត
711,female,សរ សុគន្ធា
712,male,នី សមសួន
713,male,ឌី ងួន
714,male,ទូច ហាន់
715,male,កែប ពៅ
716,female,ស ម៉ាលី
717,female,ដាញ់ កែវមនី
718,female,ឈិន គឹម
719,female,ហ៊ិន បុប្ផា
720,male,អ៊ូ សំណាង
721,male,រស់ ចន្ថា
722,male,ប៉ាង ស្បោង
723,male,ទាវ រ៉េត
724,male,ឈិត សូនីតា
725,female,យុន សាមៀន
726,female,អ៊ុយ សេង
727,male,សេង ព្រះ
728,female,សៅ រៅំឌើល
729,male,ឆន ពិរុណ
730,male,អាង ចន្ថា
731,female,អិម ច័ន្ទមុនី
732,male,សាន់ រិន
733,female,សង វណ្ណា
734,male,សែន ពិជ
735,female,ជាម ម៉ាឡាន
736,male,ជឹម ហ៊ិន
737,female,ទូច សម្បត្តិ
738,female,ខ្លូត ផល្លា
739,female,គឹម រដ្ឋា
740,male,អ៊ូ ហ៊ិន
741,male,កូយ ចន្ទ
742,female,សៀង ធា
743,female,គួច វណ្ណា
744,female,ខេម ស្រីនាង
745,male,កែវ ពិសាល
746,female,ស៊ីន សារិន
747,male,ចន្ទ សំណាង
748,male,ស៊ីន ទុយ
749,male,តាង សុវណ្ណា
750,female,ហាក់ សែន
751,female,សាត ដានី
752,male,ជាម សូនីតា
753,female,រស់ ហេង
754,male,សន យ៉ាន
755,female,ថន សុខា
756,female,ទឹក សារឿន
757,female,ឱម សូរិយា
758,male,មួយ ឡុង
759,male,ទឹក សុមេធា
760,female,កែប វណ្ណារី
761,female,ដាញ់ ស្រីនួន
762,male,ធី និស្ស័យ
763,male,សរ មាស
764,male,ស្រី ណារិទ្ធ
765,male,ឈិត វុឌ្ឍី
766,male,ស៊ី មុនី
767,male,លីវ សាម៉ន
768,male,ស៊ីន តារា
769,male,ស៊ុយ កែវ
770,male,ស៊ុយ សាវ៉េត
771,male,សោម លុយ
772,male,យស់ ឡុង
773,male,យូ សារឿន
774,male,ចេង សុភា
775,female,តាង យ៉េន
776,female,សាន់ ឯក
777,male,កឹម សិរី
778,female,ថន មណី
779,male,សិន ងួន
780,male,ហុក ក្រម
781,male,លន់ រិន
782,female,ជិន រឿន
783,male,អិម សេង
784,male,សុន រូ
785,female,មាន ម៉ាលីស
786,female,ឌុល លក្ស្មី
787,female,ឱ ឈូករតន៍
788,female,ឱ ចន្ទនារី
789,female,ឯក ស្រីណាត
790,female,យស់ គឹម
791,female,តក់ ផល្លា
792,male,ប៉ែន សុភក្ត្រ
793,male,ឡុង ណារ៉ុង
794,female,ឡាយ អម្ពរ
795,female,ស សុវណ្ណា
796,male,ចេន ពៅ
797,female,អៀវ ធា
798,female,អាង សូហ្វី
799,male,រ៉េត វីឈៀត
800,male,ស មាស
801,female,ម៉ៅ ចន្ទនារី
802,male,ស៊ុយ វាសនា
803,male,អ៊ុច ក្រម
804,female,ចេន សីម៉ា
805,female,ឈិត ផាល្លេះ
806,male,ខៀវ ដារា
807,female,ហេង សុគន្ធ
808,male,ស្រី សិទ្ធិស័ក្តិ
809,male,សង សាកងៀ
810,female,ជិន ឡេង
811,male,តក់ ពៅ
812,female,ហួយ ណាង
813,female,ប៊ុន ជា
814,female,សេង សារឿន
815,female,ឡាយ សារុន
816,female,យស់ លក្ស្មី
817,male,ខាយ ងិន
818,female,ម៉ៅ កែវមនី
819,male,ទឹក ម៉ៅ
820,male,អ៊ុំ រ៉េត
821,female,ឱ ស្រីនាថ
822,male,ឆន សាម៉ន
823,male,ឱ ទុយ
824,female,ឃីម រដ្ឋា
825,male,ស ជឿត
826,male,គ្រី វីរៈ
827,female,រស់ សុជាតា
828,female,ឌិត សុគន្ធកញ្ញា
829,male,ស៊ន សមសួន
830,male,ចាប ផាន
831,male,ឌិត ឱក
832,female,ឯក រស់
833,male,ងិន សម្បត្តិ
834,male,ស៊ន កុសល
835,female,ហួយ សុគន្ធា
836,female,ជា ណារី
837,male,ញឹក សុខា
838,male,គឹម ព្រះ
839,female,អ៊ុំ សូរិយា
840,male,ពេជ្រ ខេម
841,female,មួយ សុគម
842,male,ហ៊ឹម លាង
843,male,ប៉ាង គឹម
844,male,ទិត្យ សារិទ្ធ
845,male,ចន្ទ កុសល
846,male,ឌិត ភារៈ
847,female,សឿង បុប្ផា
848,female,អ៊ុច ទូច
849,female,អុង ពីលីកា
850,male,ឃីម សុខា
851,female,កែប សុភ័ក្រ្ត
852,male,សន ទេព
853,female,ស្បោង សុបឺណ
854,male,ថន វីរៈ
855,male,អុង សុវណ្ណ
856,female,ឯក តារា
857,male,ចាប សាវឿន
858,male,ចេង វិទូ
859,female,សង ទេព
860,female,ស សៀន
861,female,ចាប ណារ៉ុង
862,female,ប៉ាង សុខ
863,male,សាន់ នី
864,female,ហុង ស៊ីន
865,male,កែប ខេម
866,female,ឌួង សារ៉េត
867,male,ភី សំណាង
868,male,យុន ស្បោង
869,male,សង ចន្ថា
870,female,ស៊ូ យ៉េន
871,male,ប្រាក់ រ៉ាយ
872,female,ទិត្យ ស៊ីន
873,female,តាំង សម្បត្តិ
874,male,ទូច ទេព
875,female,ទ្រី លីនដា
876,female,ឃាង គុន្ធា
877,male,ឱម ពៅ
878,male,អុង វុឌ្ឍី
879,male,កែវ មាស
880,female,មាន ស្រីមុំ
881,female,សុន ណារ៉ុង
882,male,រ៉ន ផល្លា
883,male,មាស សំណាង
884,female,ហូ រតនា
885,female,អ៊ុយ សុខា
886,female,ឈិន រតនា
887,male,ភី ញាន
888,male,សូ ណារ៉ុង
889,male,កែប មុនី
890,male,រស់ រ៉ាយ
891,female,ទ្រី វាសនា
892,female,ឌី ទូច
893,female,ខៀវ សាវ៉ាន់
894,female,ម៉ាក ស្រីមុំ
895,female,ស៊ី វណ្ណារី
896,female,ប៉ែន ថាត់
897,female,អុង បទុម
898,male,សេន លាភ
899,male,រ៉េត សុគម
